Ulangan 1,Ulangan 2,Ulangan 3,Ulangan 4,Ulangan 5,Species
426,418,417,421,421,HA1T
464,928,889,895,895,HA1T
501,973,966,956,1028,HA1T
960,1028,1025,1026,1102,HA1T
1026,1104,1103,1101,1151,HA1T
1057,1157,1157,1151,1235,HA1T
1100,1202,1238,1234,1316,HA1T
1148,1245,1328,1316,1367,HA1T
1239,1328,1369,1365,1415,HA1T
1326,1418,1424,1415,1546,HA1T
1413,1503,1624,1546,1628,HA1T
1634,1624,1738,1628,1735,HA1T
1981,1738,1981,1735,2163,HA1T
2167,2321,2165,2162,2321,HA1T
2362,2849,2334,2322,2850,HA1T
2857,2918,2851,2849,2918,HA1T
2926,3299,2916,2917,3293,HA1T
3297,3745,3302,3293,3745,HA1T
3746,3852,3750,3745,3855,HA1T
421,409,413,428,421,HA46T
896,898,893,960,961,HA46T
1028,1032,1025,1025,1022,HA46T
1101,1097,1105,1103,1103,HA46T
1151,1155,1155,1152,1143,HA46T
1239,1242,1242,1242,1238,HA46T
1316,1325,1325,1324,1328,HA46T
1367,1375,1378,1378,1369,HA46T
1415,1491,1636,1491,1418,HA46T
1488,1638,1730,1636,1624,HA46T
1628,1730,2335,1730,1735,HA46T
1735,2355,2849,2335,2341,HA46T
2368,2918,2925,2849,2849,HA46T
2849,3742,3742,2917,2917,HA46T
2918,3858,3855,3324,3290,HA46T
423,894,485,423,422,HA8T
894,1025,958,962,895,HA8T
1027,1100,1021,1026,1029,HA8T
1100,1147,1099,1100,1100,HA8T
1148,1240,1145,1147,1148,HA8T
1240,1324,1240,1240,1242,HA8T
1324,1371,1324,1325,1326,HA8T
1371,1420,1371,1371,1370,HA8T
1417,1541,1420,1420,1420,HA8T
1481,1625,1479,1479,1636,HA8T
1632,1735,1631,1636,1735,HA8T
1735,2348,1735,1735,2390,HA8T
1981,2922,2165,2390,2852,HA8T
2165,3333,2348,2852,2921,HA8T
2359,3745,2851,2919,3317,HA8T
